Instituição;Unidade;Escopo da Inconsistência;Situação da Inconsistência;Total de Inconsistências
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Alterado RA;112
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Inconsistente RA;32
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Ciclo;Validado PI;26
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Curso;Validado PI;11
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Matrícula;Alterado RA;2.828
Centro de Ensino e Desenvolvimento Agrário da UFV;Centro de Ensino e Desenvolvimento Agrário da UFV;Matrícula;Inconsistente RA;1.922
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Ciclo;Validado PI;95
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Curso;Validado PI;8
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Alterado RA;1.148
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Inconsistente RA;276
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Validado PI;306
Centro de Formação Especial Em Saúde da UFTM;Centro de Formação Especial em Saúde da UFTM;Matrícula;Validado RA;100
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Ciclo;Validado RA;148
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Alterado RA;2.144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Inconsistente RA;787
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Angra dos Reis;Matrícula;Validado RA;109
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Alterado RA;12
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Inconsistente RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Ciclo;Validado RA;99
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Matrícula;Alterado RA;3.860
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Itaguaí;Matrícula;Inconsistente RA;1.309
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Ciclo;Alterado RA;77
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Ciclo;Inconsistente RA;33
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Curso;Alterado RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Matrícula;Alterado RA;1.355
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Maria da Graça;Matrícula;Inconsistente RA;1.167
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Ciclo;Alterado RA;175
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Ciclo;Inconsistente RA;34
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Curso;Validado RA;6
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Matrícula;Alterado RA;2.144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Friburgo;Matrícula;Inconsistente RA;1.509
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Ciclo;Validado RA;272
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Curso;Validado RA;9
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Matrícula;Alterado RA;6.013
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Nova Iguaçu;Matrícula;Inconsistente RA;1.830
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Ciclo;Alterado RA;43
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Ciclo;Validado RA;144
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Curso;Validado RA;5
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Alterado RA;574
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Inconsistente RA;529
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Petrópolis;Matrícula;Validado RA;2.254
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Ciclo;Validado RA;122
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Curso;Validado RA;4
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Matrícula;Alterado RA;1.806
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Uned Valença;Matrícula;Inconsistente RA;771
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Ciclo;Validado RA;1.607
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Curso;Validado RA;47
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Matrícula;Alterado RA;39.917
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Unidade Maracanã;Matrícula;Inconsistente RA;17.207
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Ciclo;Alterado RA;242
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Ciclo;Inconsistente RA;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Curso;Validado RA;8
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Matrícula;Alterado RA;2.749
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Araxá;Matrícula;Inconsistente RA;1.659
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Ciclo;Validado RA;50
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Curso;Validado RA;4
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Matrícula;Alterado RA;1.097
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Contagem;Matrícula;Inconsistente RA;770
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Ciclo;Alterado RA;74
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Ciclo;Inconsistente RA;20
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Curso;Alterado RA;6
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Matrícula;Alterado RA;1.605
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Curvelo;Matrícula;Inconsistente RA;1.202
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Alterado RA;71
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Inconsistente RA;32
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Ciclo;Validado RA;55
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Curso;Alterado RA;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Curso;Validado RA;2
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Alterado RA;1.810
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Inconsistente RA;1.521
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Divinópolis;Matrícula;Validado RA;1.351
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Ciclo;Inconsistente PI;3
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Ciclo;Validado RA;188
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Curso;Validado PI;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Matrícula;Alterado RA;4.537
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Leopoldina;Matrícula;Inconsistente RA;72
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Ciclo;Validado RA;142
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Curso;Validado RA;4
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Matrícula;Alterado RA;57
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Matrícula;Inconsistente RA;19
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Nepomuceno;Matrícula;Validado RA;2.385
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Timóteo;Ciclo;Validado RA;151
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Timóteo;Curso;Validado RA;8
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Timóteo;Matrícula;Alterado RA;2.647
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Timóteo;Matrícula;Inconsistente RA;1.370
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Ciclo;Inconsistente PI;6
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Ciclo;Validado RA;117
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Curso;Validado PI;7
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Matrícula;Alterado RA;453
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Matrícula;Inconsistente RA;609
Centro Federal de Educação Tecnológica de Minas Gerais;Uned Varginha;Matrícula;Validado RA;2.723
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Ciclo;Alterado RA;1.524
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Ciclo;Inconsistente RA;361
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Curso;Alterado RA;2
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Curso;Inconsistente RA;27
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Curso;Validado RA;119
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Matrícula;Alterado RA;35.708
Centro Federal de Educação Tecnológica de Minas Gerais;Unidade Belo Horizonte;Matrícula;Inconsistente RA;50.703
Colégio Agrícola Dom Agostinho Ikas da UFRPE;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Ciclo;Alterado RA;42
Colégio Agrícola Dom Agostinho Ikas da UFRPE;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Ciclo;Inconsistente RA;25
Colégio Agrícola Dom Agostinho Ikas da UFRPE;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Curso;Alterado RA;5
Colégio Agrícola Dom Agostinho Ikas da UFRPE;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Matrícula;Alterado RA;2.363
Colégio Agrícola Dom Agostinho Ikas da UFRPE;Colégio Agrícola Dom Agostinho Ikas da UFRPE;Matrícula;Inconsistente RA;2.348
Colégio Agrícola Vidal de Negreiros da UFPB;Colégio Agrícola Vidal de Negreiros da UFPB;Ciclo;Alterado PI;2
Colégio Agrícola Vidal de Negreiros da UFPB;Colégio Agrícola Vidal de Negreiros da UFPB;Ciclo;Validado RA;262
Colégio Agrícola Vidal de Negreiros da UFPB;Colégio Agrícola Vidal de Negreiros da UFPB;Curso;Validado PI;17
Colégio Agrícola Vidal de Negreiros da UFPB;Colégio Agrícola Vidal de Negreiros da UFPB;Matrícula;Alterado RA;5.325
Colégio Agrícola Vidal de Negreiros da UFPB;Colégio Agrícola Vidal de Negreiros da UFPB;Matrícula;Inconsistente RA;1.481
Colégio Pedro II;Campus Centro;Ciclo;Alterado PI;1
Colégio Pedro II;Campus Centro;Ciclo;Validado PI;50
Colégio Pedro II;Campus Centro;Ciclo;Validado RA;29
Colégio Pedro II;Campus Centro;Curso;Validado PI;9
Colégio Pedro II;Campus Centro;Matrícula;Alterado RA;4.823
Colégio Pedro II;Campus Centro;Matrícula;Inconsistente RA;502
Colégio Pedro II;Campus Centro;Matrícula;Validado RA;792
Colégio Pedro II;Campus Duque de Caxias;Ciclo;Alterado RA;12
Colégio Pedro II;Campus Duque de Caxias;Ciclo;Inconsistente RA;17
Colégio Pedro II;Campus Duque de Caxias;Ciclo;Validado PI;52
Colégio Pedro II;Campus Duque de Caxias;Curso;Validado PI;3
Colégio Pedro II;Campus Duque de Caxias;Matrícula;Alterado RA;471
Colégio Pedro II;Campus Duque de Caxias;Matrícula;Inconsistente RA;925
Colégio Pedro II;Campus Duque de Caxias;Matrícula;Validado PI;1.519
Colégio Pedro II;Campus Engenho Novo I;Ciclo;Validado RA;59
Colégio Pedro II;Campus Engenho Novo I;Curso;Validado PI;2
Colégio Pedro II;Campus Engenho Novo I;Matrícula;Alterado RA;2.130
Colégio Pedro II;Campus Engenho Novo I;Matrícula;Inconsistente RA;18
Colégio Pedro II;Campus Engenho Novo II;Ciclo;Validado RA;111
Colégio Pedro II;Campus Engenho Novo II;Curso;Validado RA;12
Colégio Pedro II;Campus Engenho Novo II;Matrícula;Alterado RA;6.011
Colégio Pedro II;Campus Engenho Novo II;Matrícula;Inconsistente RA;9
Colégio Pedro II;Campus Humaitá I;Ciclo;Validado RA;54
Colégio Pedro II;Campus Humaitá I;Curso;Validado RA;1
Colégio Pedro II;Campus Humaitá I;Matrícula;Alterado RA;1.617
Colégio Pedro II;Campus Humaitá I;Matrícula;Inconsistente RA;501
Colégio Pedro II;Campus Humaitá II;Ciclo;Alterado RA;49
Colégio Pedro II;Campus Humaitá II;Ciclo;Validado PI;53
Colégio Pedro II;Campus Humaitá II;Curso;Validado PI;10
Colégio Pedro II;Campus Humaitá II;Matrícula;Alterado RA;863
Colégio Pedro II;Campus Humaitá II;Matrícula;Inconsistente PI;1.266
Colégio Pedro II;Campus Humaitá II;Matrícula;Inconsistente RA;1.396
Colégio Pedro II;Campus Humaitá II;Matrícula;Validado RA;4.005
Colégio Pedro II;Campus Niterói;Ciclo;Validado PI;34
Colégio Pedro II;Campus Niterói;Curso;Validado PI;2
Colégio Pedro II;Campus Niterói;Matrícula;Alterado RA;2.351
Colégio Pedro II;Campus Niterói;Matrícula;Inconsistente RA;647
Colégio Pedro II;Campus Realengo I;Ciclo;Validado RA;56
Colégio Pedro II;Campus Realengo I;Curso;Validado RA;2
Colégio Pedro II;Campus Realengo I;Matrícula;Alterado RA;1.787
Colégio Pedro II;Campus Realengo I;Matrícula;Inconsistente RA;322
Colégio Pedro II;Campus Realengo I;Matrícula;Validado RA;708
Colégio Pedro II;Campus Realengo II;Ciclo;Validado RA;208
Colégio Pedro II;Campus Realengo II;Curso;Validado PI;12
Colégio Pedro II;Campus Realengo II;Curso;Validado RA;2
Colégio Pedro II;Campus Realengo II;Matrícula;Alterado RA;11.022
Colégio Pedro II;Campus Realengo II;Matrícula;Inconsistente RA;1.434
Colégio Pedro II;Campus São Cristóvão I;Ciclo;Validado PI;53
Colégio Pedro II;Campus São Cristóvão I;Curso;Validado PI;3
Colégio Pedro II;Campus São Cristóvão I;Matrícula;Alterado RA;2.841
Colégio Pedro II;Campus São Cristóvão I;Matrícula;Validado RA;2.000
Colégio Pedro II;Campus São Cristóvão II;Ciclo;Alterado RA;32
Colégio Pedro II;Campus São Cristóvão II;Ciclo;Inconsistente RA;24
Colégio Pedro II;Campus São Cristóvão II;Curso;Validado PI;6
Colégio Pedro II;Campus São Cristóvão II;Matrícula;Alterado RA;4.158
Colégio Pedro II;Campus São Cristóvão II;Matrícula;Inconsistente RA;2.389
Colégio Pedro II;Campus São Cristóvão III;Ciclo;Validado RA;145
Colégio Pedro II;Campus São Cristóvão III;Curso;Validado RA;24
Colégio Pedro II;Campus São Cristóvão III;Matrícula;Alterado RA;6.299
Colégio Pedro II;Campus São Cristóvão III;Matrícula;Inconsistente RA;796
Colégio Pedro II;Campus Tijuca I;Ciclo;Validado RA;48
Colégio Pedro II;Campus Tijuca I;Curso;Validado RA;1
Colégio Pedro II;Campus Tijuca I;Matrícula;Alterado RA;1.701
Colégio Pedro II;Campus Tijuca I;Matrícula;Inconsistente RA;400
Colégio Pedro II;Campus Tijuca II;Ciclo;Alterado RA;85
Colégio Pedro II;Campus Tijuca II;Ciclo;Inconsistente RA;52
Colégio Pedro II;Campus Tijuca II;Curso;Alterado RA;7
Colégio Pedro II;Campus Tijuca II;Curso;Inconsistente RA;2
Colégio Pedro II;Campus Tijuca II;Matrícula;Alterado RA;4.189
Colégio Pedro II;Campus Tijuca II;Matrícula;Inconsistente RA;2.654
Colégio Politécnico da UFSM;Colégio Politécnico da Universidade Federal Santa Maria;Ciclo;Alterado RA;530
Colégio Politécnico da UFSM;Colégio Politécnico da Universidade Federal Santa Maria;Curso;Validado RA;30
Colégio Politécnico da UFSM;Colégio Politécnico da Universidade Federal Santa Maria;Matrícula;Alterado RA;7.024
Colégio Politécnico da UFSM;Colégio Politécnico da Universidade Federal Santa Maria;Matrícula;Inconsistente RA;4.256
Colégio Técnico da UFMG;Colégio Técnico da UFMG;Ciclo;Validado RA;99
Colégio Técnico da UFMG;Colégio Técnico da UFMG;Curso;Validado RA;6
Colégio Técnico da UFMG;Colégio Técnico da UFMG;Matrícula;Validado RA;3.130
Colégio Técnico da UFRRJ;Colégio Técnico da UFRRJ;Ciclo;Alterado RA;74
Colégio Técnico da UFRRJ;Colégio Técnico da UFRRJ;Ciclo;Inconsistente RA;27
Colégio Técnico da UFRRJ;Colégio Técnico da UFRRJ;Curso;Alterado RA;5
Colégio Técnico da UFRRJ;Colégio Técnico da UFRRJ;Matrícula;Alterado RA;2.002
Colégio Técnico da UFRRJ;Colégio Técnico da UFRRJ;Matrícula;Inconsistente RA;1.897
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Ciclo;Alterado RA;81
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Ciclo;Inconsistente RA;96
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Curso;Alterado RA;14
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Curso;Inconsistente RA;4
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Matrícula;Alterado RA;3.060
Colégio Técnico de Bom Jesus da UFPI;Colégio Técnico de Bom Jesus da UFPI;Matrícula;Inconsistente RA;4.134
Colégio Técnico de Floriano da UFPI;Colégio Técnico de Floriano da UFPI;Ciclo;Alterado RA;70
Colégio Técnico de Floriano da UFPI;Colégio Técnico de Floriano da UFPI;Ciclo;Inconsistente RA;7
Colégio Técnico de Floriano da UFPI;Colégio Técnico de Floriano da UFPI;Curso;Alterado RA;10
Colégio Técnico de Floriano da UFPI;Colégio Técnico de Floriano da UFPI;Matrícula;Alterado RA;1.605
Colégio Técnico de Floriano da UFPI;Colégio Técnico de Floriano da UFPI;Matrícula;Inconsistente RA;672
Colégio Técnico de Teresina da UFPI;Colégio Técnico de Teresina da UFPI;Ciclo;Validado PI;85
Colégio Técnico de Teresina da UFPI;Colégio Técnico de Teresina da UFPI;Curso;Validado PI;11
Colégio Técnico de Teresina da UFPI;Colégio Técnico de Teresina da UFPI;Matrícula;Alterado RA;480
Colégio Técnico de Teresina da UFPI;Colégio Técnico de Teresina da UFPI;Matrícula;Inconsistente RA;321
Colégio Técnico de Teresina da UFPI;Colégio Técnico de Teresina da UFPI;Matrícula;Validado PI;2.609
Colégio Técnico Industrial da UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;Ciclo;Validado PI;300
Colégio Técnico Industrial da UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;Curso;Validado PI;12
Colégio Técnico Industrial da UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;Matrícula;Alterado RA;5.155
Colégio Técnico Industrial da UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;Matrícula;Inconsistente RA;1.132
Colégio Técnico Industrial da UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;Matrícula;Validado RA;4
Colégio Universitário da UFMA;Colégio Universitário da UFMA;Ciclo;Validado RA;36
Colégio Universitário da UFMA;Colégio Universitário da UFMA;Curso;Validado RA;3
Colégio Universitário da UFMA;Colégio Universitário da UFMA;Matrícula;Alterado RA;653
Colégio Universitário da UFMA;Colégio Universitário da UFMA;Matrícula;Inconsistente RA;329
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Ciclo;Alterado RA;101
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Ciclo;Inconsistente RA;80
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Ciclo;Validado PI;47
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Curso;Validado PI;19
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Matrícula;Alterado RA;4.393
Escola Agrícola de Jundiaí da UFRN;Escola Agrícola de Jundiaí da UFRN;Matrícula;Inconsistente RA;3.674
Escola Agrotécnica da UFRR;Escola Agrotécnica da UFRR;Ciclo;Alterado RA;20
Escola Agrotécnica da UFRR;Escola Agrotécnica da UFRR;Ciclo;Inconsistente RA;7
Escola Agrotécnica da UFRR;Escola Agrotécnica da UFRR;Curso;Alterado RA;1
Escola Agrotécnica da UFRR;Escola Agrotécnica da UFRR;Matrícula;Alterado RA;617
Escola Agrotécnica da UFRR;Escola Agrotécnica da UFRR;Matrícula;Inconsistente RA;656
Escola de Música da UFPA;Escola de Música da UFPA;Ciclo;Alterado RA;44
Escola de Música da UFPA;Escola de Música da UFPA;Ciclo;Inconsistente RA;13
Escola de Música da UFPA;Escola de Música da UFPA;Curso;Alterado RA;2
Escola de Música da UFPA;Escola de Música da UFPA;Matrícula;Alterado RA;869
Escola de Música da UFPA;Escola de Música da UFPA;Matrícula;Inconsistente RA;878
Escola de Música da UFRN;Escola de Música da UFRN;Ciclo;Validado RA;34
Escola de Música da UFRN;Escola de Música da UFRN;Curso;Validado RA;4
Escola de Música da UFRN;Escola de Música da UFRN;Matrícula;Alterado RA;296
Escola de Música da UFRN;Escola de Música da UFRN;Matrícula;Inconsistente PI;3
Escola de Música da UFRN;Escola de Música da UFRN;Matrícula;Inconsistente RA;128
Escola de Música da UFRN;Escola de Música da UFRN;Matrícula;Validado RA;391
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Ciclo;Validado PI;52
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Ciclo;Validado RA;47
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Curso;Validado PI;11
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Matrícula;Alterado RA;2.173
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Matrícula;Inconsistente RA;1.166
Escola de Saúde da UFRN;Escola de Saúde da UFRN;Matrícula;Validado PI;1.395
Escola de Teatro e Dança da UFPA;Escola de Teatro e Dança da UFPA;Ciclo;Alterado RA;50
Escola de Teatro e Dança da UFPA;Escola de Teatro e Dança da UFPA;Ciclo;Inconsistente RA;35
Escola de Teatro e Dança da UFPA;Escola de Teatro e Dança da UFPA;Curso;Alterado RA;6
Escola de Teatro e Dança da UFPA;Escola de Teatro e Dança da UFPA;Matrícula;Alterado RA;1.442
Escola de Teatro e Dança da UFPA;Escola de Teatro e Dança da UFPA;Matrícula;Inconsistente RA;1.196
Escola Técnica de Artes da UFAL;Escola Técnica de Artes;Ciclo;Validado RA;89
Escola Técnica de Artes da UFAL;Escola Técnica de Artes;Curso;Validado PI;8
Escola Técnica de Artes da UFAL;Escola Técnica de Artes;Matrícula;Alterado RA;2.139
Escola Técnica de Artes da UFAL;Escola Técnica de Artes;Matrícula;Inconsistente RA;1.742
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Ciclo;Alterado RA;46
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Ciclo;Inconsistente RA;1
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Ciclo;Validado RA;143
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Curso;Validado RA;25
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Matrícula;Alterado RA;32.201
Escola Técnica de Saúde da UFPB;Escola Técnica de Saúde da UFPB;Matrícula;Inconsistente RA;11.014
Escola Técnica de Saúde da UFU;Escola Técnica de Saúde da UFU;Ciclo;Validado RA;167
Escola Técnica de Saúde da UFU;Escola Técnica de Saúde da UFU;Curso;Validado RA;7
Escola Técnica de Saúde da UFU;Escola Técnica de Saúde da UFU;Matrícula;Validado RA;3.047
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Ciclo;Alterado RA;26
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Ciclo;Inconsistente RA;60
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Curso;Alterado RA;4
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Curso;Inconsistente RA;17
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Matrícula;Alterado RA;972
Escola Técnica de Saúde de Cajazeiras da UFCG;Escola Técnica de Saúde de Cajazeiras da UFCG;Matrícula;Inconsistente RA;1.792
Instituto Federal Baiano;Campus Alagoinhas;Ciclo;Alterado RA;42
Instituto Federal Baiano;Campus Alagoinhas;Ciclo;Inconsistente RA;1
Instituto Federal Baiano;Campus Alagoinhas;Curso;Validado RA;8
Instituto Federal Baiano;Campus Alagoinhas;Matrícula;Alterado RA;1.768
Instituto Federal Baiano;Campus Alagoinhas;Matrícula;Inconsistente RA;1.551
Instituto Federal Baiano;Campus Bom Jesus da Lapa;Ciclo;Validado RA;110
Instituto Federal Baiano;Campus Bom Jesus da Lapa;Curso;Validado RA;12
Instituto Federal Baiano;Campus Bom Jesus da Lapa;Matrícula;Alterado RA;1.297
Instituto Federal Baiano;Campus Bom Jesus da Lapa;Matrícula;Inconsistente RA;371
Instituto Federal Baiano;Campus Bom Jesus da Lapa;Matrícula;Validado RA;3.232
Instituto Federal Baiano;Campus Catu;Ciclo;Validado RA;185
Instituto Federal Baiano;Campus Catu;Curso;Validado RA;23
Instituto Federal Baiano;Campus Catu;Matrícula;Alterado RA;4.124
Instituto Federal Baiano;Campus Catu;Matrícula;Inconsistente RA;2.535
Instituto Federal Baiano;Campus Governador Mangabeira;Ciclo;Alterado RA;13
Instituto Federal Baiano;Campus Governador Mangabeira;Ciclo;Inconsistente RA;19
Instituto Federal Baiano;Campus Governador Mangabeira;Ciclo;Validado RA;50
Instituto Federal Baiano;Campus Governador Mangabeira;Curso;Validado RA;14
Instituto Federal Baiano;Campus Governador Mangabeira;Matrícula;Alterado RA;3.161
Instituto Federal Baiano;Campus Governador Mangabeira;Matrícula;Inconsistente RA;2.711
Instituto Federal Baiano;Campus Guanambi;Ciclo;Inconsistente RA;4
